iter	RMSE
0	0.596175277
1	0.5840329423
2	0.5721979625
3	0.5609565867
4	0.5500972386
5	0.5395375691
6	0.5293879326
7	0.5197275911
8	0.5104483248
9	0.501512463
10	0.4927004979
11	0.4840981227
12	0.4763478975
13	0.4686185068
14	0.4608203066
15	0.4537324893
16	0.4466026371
17	0.4397255851
18	0.4331993
19	0.4271644644
20	0.4213239844
21	0.4156204506
22	0.4101124401
23	0.4048850917
24	0.4000185506
25	0.3951239922
26	0.3905448834
27	0.3858288232
28	0.3819305362
29	0.3779590118
30	0.3737530754
31	0.3697884831
32	0.3659490942
33	0.3626413607
34	0.3592145906
35	0.3559285713
36	0.3527189498
37	0.3497621054
38	0.3469262263
39	0.3440124737
40	0.3415949566
41	0.339185231
42	0.3367078091
43	0.33419983
44	0.3321011462
45	0.3300351847
46	0.3280227941
47	0.326045818
48	0.324181825
49	0.3223892081
50	0.3204285485
51	0.3186209891
52	0.3170455633
53	0.3155792572
54	0.3138914739
55	0.3123354093
56	0.3107181915
57	0.3094463547
58	0.3080199062
59	0.3067044051
60	0.3054850633
61	0.3041154088
62	0.3029695797
63	0.3020825506
64	0.3010644833
65	0.3000052831
66	0.2991217078
67	0.298241908
68	0.2972247344
69	0.2965735593
70	0.2957403296
71	0.2949635097
72	0.2940197193
73	0.2933180393
74	0.2926567278
75	0.2917937632
76	0.2911224398
77	0.2903826107
78	0.2896135163
79	0.2888373751
80	0.2883449624
81	0.2876900039
82	0.2871827659
83	0.2866502798
84	0.2860367604
85	0.285374909
86	0.2847470518
87	0.284282153
88	0.2837136368
89	0.283060519
90	0.2826754738
91	0.2823164032
92	0.2817003565
93	0.2813514945
94	0.2808401619
95	0.2805699989
96	0.2801150682
97	0.2796459231
98	0.2791108645
99	0.2786020648
100	0.278267769
101	0.2779875595
102	0.2776656511
103	0.277319215
104	0.276771279
105	0.2764120283
106	0.2759567969
107	0.2758533632
108	0.2753260915
109	0.2752146335
110	0.2748464199
111	0.2745205991
112	0.2743628843
113	0.2740094909
114	0.2735882734
115	0.2735191141
116	0.2734203886
117	0.273056545
118	0.2727742282
119	0.2724732665
120	0.2720330265
121	0.2717541822
122	0.2712141464
123	0.2707120811
124	0.2703905722
125	0.2700316915
126	0.2697706308
127	0.2697371726
128	0.2694249853
129	0.2691714666
130	0.2690812142
131	0.268773375
132	0.2687506597
133	0.2686978557
134	0.2682812753
135	0.2680106633
136	0.2676474355
137	0.2676091343
138	0.2676028551
139	0.267399635
140	0.2671194946
141	0.2668264373
142	0.26658312
143	0.266344076
144	0.2660169192
145	0.2657456295
146	0.2653967324
147	0.2652180192
148	0.2649698833
149	0.2649635986
150	0.2647656208
151	0.2645710033
152	0.2643933588
153	0.264388735
154	0.2643517219
155	0.2643044538
156	0.2642427555
157	0.2640637376
158	0.2638564284
159	0.2636472866
160	0.2636456074
161	0.2636425256
162	0.2636302362
163	0.2632845168
164	0.2632832652
165	0.2629725129
166	0.2628475962
167	0.2628386576
168	0.2628362459
169	0.2626009084
170	0.2625689508
171	0.262567006
172	0.2625620147
173	0.2624465832
174	0.2622820301
175	0.2619873734
176	0.261985309
177	0.2617776223
178	0.2617730003
179	0.2616735825
180	0.2616705256
181	0.2614287024
182	0.2612253975
183	0.2611252319
184	0.2611245864
185	0.2609818993
186	0.2607188201
187	0.260472289
188	0.260183936
189	0.2601825728
190	0.2601817704
191	0.2599978086
192	0.2599862951
193	0.2598752563
194	0.2598717233
195	0.2596929856
196	0.2596925691
197	0.2596440943
198	0.2596440458
199	0.2593892493
200	0.2593621042
201	0.2591924873
202	0.2591920118
203	0.2590518432
204	0.258878836
205	0.2586767069
206	0.2583769359
207	0.25817532
208	0.2581383321
209	0.2581354281
210	0.25791878
211	0.2579183216
212	0.2578502566
213	0.2576990018
214	0.2576945311
215	0.2573430858
216	0.2571076317
217	0.2571071033
218	0.2569369377
219	0.2567160837
220	0.2564699029
221	0.2561302127
222	0.2561302029
223	0.2561100395
224	0.2558351074
225	0.2558351271
226	0.2558347338
227	0.2558320004
228	0.2558319906
229	0.2557238302
230	0.25572384
231	0.2557235154
232	0.255510926
233	0.2555068896
234	0.2553573202
235	0.2553573103
236	0.2553569064
237	0.2551817588
238	0.2551817391
239	0.2549044539
240	0.2549040591
241	0.2549039309
242	0.2549039309
243	0.254903921
244	0.2548732486
245	0.2546619348
246	0.2544033251
247	0.2542467944
248	0.2542464382
249	0.2542461018
250	0.2541538154
251	0.254143225
252	0.2538828088
253	0.2538803021
254	0.2537776438
255	0.2537749873
256	0.2536313689
257	0.2536276596
258	0.2535527483
259	0.253334872
260	0.2533151216
261	0.2533147145
262	0.2532967303
263	0.2532967204
264	0.2532184926
265	0.2531415226
266	0.2529964806
267	0.2529960332
268	0.2529089401
269	0.2529054092
270	0.2528984766
271	0.2525211422
272	0.2525206441
273	0.2524475367
274	0.2524475467
275	0.2524041684
276	0.2524041484
277	0.2521251653
278	0.2521250256
279	0.2520456059
280	0.2518202224
281	0.2516585866
282	0.2516572372
283	0.2516569673
284	0.2513986885
285	0.2513986485
286	0.2513793464
287	0.251134575
288	0.251134525
289	0.2511203514
290	0.2508733721
291	0.250873342
292	0.2508730612
293	0.2508730311
294	0.250872981
295	0.250718751
296	0.2507183196
297	0.2507182895
298	0.2507182493
299	0.2507141458
300	0.250598306
301	0.2505969007
302	0.2505962382
303	0.2505960776
304	0.2505889405
305	0.2505889204
306	0.2505407325
307	0.2505403208
308	0.2502968394
309	0.2502944375
310	0.2502520831
311	0.2502520329
312	0.2502519927
313	0.2500400429
314	0.2500397814
315	0.2500396405
316	0.2497825394
317	0.249780636
318	0.2495272399
319	0.2493959418
320	0.2493958712
321	0.2493958107
322	0.2492172106
323	0.2492171904
324	0.2489895093
325	0.2487326779
326	0.24859583
327	0.2485382177
328	0.248342086
329	0.2481842257
330	0.2480749819
331	0.248073319
332	0.2479416568
333	0.2477939976
334	0.2477679984
335	0.2476011877
336	0.2476008931
337	0.2475930296
338	0.2475929179
339	0.2473678297
340	0.247352464
341	0.2473507657
342	0.2473506844
343	0.2473505216
344	0.2473503793
345	0.2473464741
346	0.2473405145
347	0.2473404942
348	0.2472601684
349	0.2472600768
350	0.2472599344
351	0.2472589883
352	0.2472589781
353	0.2471593707
354	0.2470758911
355	0.246975833
356	0.2467930048
357	0.2467928621
358	0.2467892335
359	0.2467887035
360	0.2467878473
361	0.2466655543
362	0.2466222299
363	0.2466221177
364	0.2464456617
365	0.2463236992
366	0.2462679046
367	0.2459231646
368	0.2457221304
369	0.2455167617
370	0.2455159728
371	0.2455156757
372	0.2453557714
373	0.2451122301
374	0.2450393762
375	0.2450151072
376	0.2450150867
377	0.245014676
378	0.2450146555
379	0.2450088548
380	0.2450088445
381	0.2448360136
382	0.244834945
383	0.2447763551
384	0.2447763448
385	0.2447763345
386	0.2445608324
387	0.2444125613
388	0.2442968636
389	0.2441247754
390	0.2440773621
391	0.2440032713
392	0.2440020033
393	0.2440018074
394	0.2437732899
395	0.2437217212
396	0.2437217108
397	0.243708995
398	0.243708995
399	0.2437058056
400	0.2437057953
401	0.243705785
402	0.2436246531
403	0.2435434632
404	0.2435407675
405	0.2435406125
406	0.2433630695
407	0.2433630592
408	0.2433066684
409	0.2432040254
410	0.2431588636
411	0.243035707
412	0.2430028844
413	0.2429646531
414	0.2429646324
415	0.2429610605
416	0.2429592176
417	0.2429585239
418	0.2429583582
419	0.2429368531
420	0.2429368324
421	0.2429368221
422	0.2429363768
423	0.2429359523
424	0.2429359316
425	0.2429218181
426	0.2428611197
427	0.2428607261
428	0.2427510348
429	0.242653029
430	0.2426525418
431	0.2426510075
432	0.2425323226
433	0.2423653333
434	0.242365188
435	0.2423647417
436	0.242287376
437	0.2422678049
438	0.2422676595
439	0.2420872191
440	0.2420871775
441	0.2418861374
442	0.2418276132
443	0.2418275403
444	0.2418275195
445	0.2418220481
446	0.2418219649
447	0.2418192603
448	0.2415765375
449	0.2415713832
450	0.241569363
451	0.2415584708
452	0.2415583771
453	0.241556336
454	0.2415558987
455	0.2415554821
456	0.2415517644
457	0.2414556055
458	0.2414555951
459	0.2414554909
460	0.2414039167
461	0.2414019682
462	0.2414015722
463	0.2414015618
464	0.2414011971
465	0.2414011033
466	0.2413997382
467	0.2413995923
468	0.2413983002
469	0.2411373997
470	0.2411295863
471	0.2411099629
472	0.2411081789
473	0.2411064783
474	0.241106134
475	0.2411045065
476	0.241079831
477	0.2410707531
478	0.2410686453
479	0.2410653479
480	0.2410651393
481	0.2410636784
482	0.2408662956
483	0.240737609
484	0.2407119972
485	0.2407100013
486	0.2407098654
487	0.240577237
488	0.2405772161
489	0.2405758254
490	0.2405748426
491	0.2405595135
492	0.240559158
493	0.2405582064
494	0.2405559373
495	0.2405546302
496	0.2405529048
497	0.2405517022
498	0.2405505415
499	0.2405486278
500	0.2405480945
501	0.240546986
502	0.2405459194
503	0.2405440371
504	0.2405435247
505	0.2405425103
506	0.2405424476
507	0.2405414541
508	0.2405396136
509	0.2404515237
510	0.240451032
511	0.2404505508
512	0.2404465754
513	0.2404178356
514	0.2404178566
515	0.240336473
516	0.240335531
517	0.2403355206
518	0.2403354682
519	0.2401446517
520	0.2401445994
521	0.2401428186
522	0.2401428082
523	0.2401419073
524	0.2401419178
525	0.2399751834
526	0.2399743134
527	0.2399742714
528	0.2399734224
529	0.239973349
530	0.239972154
531	0.2399710114
532	0.2399692923
533	0.2399682022
534	0.2399678038
535	0.2399677619
536	0.2399677095
537	0.239794025
538	0.2397939096
539	0.2397938781
540	0.2397938362
541	0.2397937942
542	0.2397930599
543	0.2397923675
544	0.2397919899
545	0.239791906
546	0.2397912556
547	0.2397911926
548	0.2397905527
549	0.2397905213
550	0.2397888533
551	0.2397871958
552	0.2397871958
553	0.2397871749
554	0.2397868077
555	0.2397868077
556	0.2397852341
557	0.2395193314
558	0.2395187118
559	0.2395187013
560	0.2395186908
561	0.2395186908
562	0.2395186803
563	0.2395186803
564	0.2395186698
565	0.2395186593
566	0.2395183022
567	0.2395183127
568	0.2395182812
569	0.2395182812
570	0.2395182707
571	0.2395182707
572	0.2395182602
573	0.2395176826
574	0.2395161493
575	0.2395101524
576	0.2395101209
577	0.2395101419
578	0.2395101314
579	0.2395101209
580	0.2395101104
581	0.2394713634
582	0.2394705021
583	0.2394705021
584	0.239470271
585	0.2393610752
586	0.2393610647
587	0.2393610647
588	0.2393610647
589	0.2393610647
590	0.2393610647
591	0.2393610647
592	0.2393610542
593	0.2393610542
594	0.2393610542
595	0.2393610437
596	0.2393610331
597	0.2393610331
598	0.2393610226
599	0.2393610016
600	0.2393610016
601	0.2393609806
602	0.2393609806
603	0.2393609806
604	0.2393609596
605	0.2393601399
606	0.2393601189
607	0.2393601083
608	0.2393593097
609	0.2393592991
610	0.2393592886
611	0.2393592781
612	0.2393592781
613	0.2393592676
614	0.2393584899
615	0.2393577648
616	0.2393577438
617	0.2393577438
618	0.2393570292
619	0.2393563461
620	0.239355684
621	0.2393556735
622	0.2393556735
623	0.2393556735
624	0.239355663
625	0.2393556524
626	0.2393550219
627	0.2393550009
628	0.2393549798
629	0.2393549693
630	0.2393543388
631	0.2393543493
632	0.2393543388
633	0.2392724043
634	0.2392723938
635	0.2392717945
636	0.239271784
637	0.2392717735
638	0.239271784
639	0.2392712058
640	0.2392711953
641	0.2392712058
642	0.2392711953
643	0.2392706381
644	0.2392706276
645	0.2392701019
646	0.2392700914
647	0.2392695763
648	0.2392690822
649	0.2392685986
650	0.2392685986
651	0.239268136
652	0.239268136
653	0.2392681255
654	0.239268115
655	0.239268115
656	0.239268115
657	0.2392678626
658	0.2392678521
659	0.2392674106
660	0.2392674106
661	0.2392674106
662	0.2392674106
663	0.2392674001
664	0.2392674001
665	0.2392674001
666	0.2392674001
667	0.2392674106
668	0.2392674001
669	0.2392674106
670	0.239266969
671	0.239266969
672	0.2392669585
673	0.2392669585
674	0.2392669585
675	0.2392668323
676	0.2392666536
677	0.2392666536
678	0.2392666536
679	0.2391622662
680	0.2391620032
681	0.2391616036
682	0.239161593
683	0.239074479
684	0.239074479
685	0.2390740792
686	0.2390740792
687	0.2390739003
688	0.2390739003
689	0.2390737846
690	0.2390737951
691	0.2390736899
692	0.239073511
693	0.2390731322
694	0.2390631785
695	0.238887299
696	0.2388872253
697	0.2388394463
698	0.238839362
699	0.2388392883
700	0.2388392883
701	0.2388379191
702	0.2388377717
703	0.2388376453
704	0.2388374557
705	0.2388369712
706	0.2387772887
707	0.2387770675
708	0.2387756032
709	0.23877554
710	0.2387754136
711	0.2387753609
712	0.2387751396
713	0.2387750343
714	0.2387749816
715	0.2387738965
716	0.2387738017
717	0.2387454611
718	0.2387454084
719	0.2387453558
720	0.2387453241
721	0.2386993399
722	0.2386992239
723	0.2386991291
724	0.238699087
725	0.238699087
726	0.2386975484
727	0.2386974535
728	0.2386972744
729	0.2385958112
730	0.238595769
731	0.238595769
732	0.2385957269
733	0.2385820209
734	0.2385795221
735	0.2385794799
736	0.2385794483
737	0.2385703385
738	0.2385703174
739	0.2385702858
740	0.2385702542
741	0.2385702225
742	0.2385697481
743	0.2385697059
744	0.2385697059
745	0.2385676287
746	0.2385672702
747	0.2385671964
748	0.2385658362
749	0.2385654039
750	0.2385653723
751	0.2385650349
752	0.2385650243
753	0.2384420902
754	0.2384114523
755	0.2384111147
756	0.2384110725
757	0.2384064933
758	0.2384064933
759	0.2383951822
760	0.2383951822
761	0.2383948551
762	0.2382066447
763	0.2382066342
764	0.2382050396
765	0.2381889983
766	0.2381864004
767	0.238024785
768	0.2380233794
769	0.2380184863
770	0.2379979194
771	0.2379915567
772	0.2379025445
773	0.2379025445
774	0.237902259
775	0.2377201558
776	0.2377201558
777	0.2376665327
778	0.2375496779
779	0.2375487142
780	0.2375487248
781	0.2375181305
782	0.2375179717
783	0.2374744509
784	0.2374744509
785	0.2374639534
786	0.237463964
787	0.2374627246
788	0.2374624704
789	0.2374487096
790	0.237194038
791	0.2371896051
792	0.2371284047
793	0.2371266438
794	0.2368882662
795	0.2368762136
796	0.2368739092
797	0.2367641747
798	0.2367109195
799	0.2366096677
800	0.2365198377
801	0.2365193165
802	0.2364851747
803	0.2364851747
804	0.2364851427
805	0.2364833238
806	0.2364501342
807	0.2364500917
808	0.2364484427
809	0.2362748115
810	0.2362747689
811	0.2362744069
812	0.2362743643
813	0.2362693073
814	0.2362676783
815	0.2362661452
816	0.2362515587
817	0.2362406556
818	0.2361182159
819	0.2359703963
820	0.235970343
821	0.2359703323
822	0.2359703217
823	0.2359688293
824	0.2359688399
825	0.2359688293
826	0.2359688293
827	0.2359462287
828	0.2359462073
829	0.2359419642
830	0.2359419748
831	0.2357469513
832	0.2357443905
833	0.2357317032
834	0.2357316071
835	0.2356234437
836	0.2356163335
837	0.2356148068
838	0.2354104192
839	0.2354089339
840	0.2354085065
841	0.2354085065
842	0.2354084851
843	0.2353859376
844	0.2353703775
845	0.2353703561
846	0.2353694049
847	0.2352332308
848	0.2352327282
849	0.2351859502
850	0.2351852229
851	0.2351842924
852	0.2350645556
853	0.2350636032
854	0.2349065
855	0.2349061359
856	0.2348943564
857	0.2347571995
858	0.2346724701
859	0.2346720414
860	0.234671902
861	0.2346718913
862	0.2345891363
863	0.2345891363
864	0.2344810037
865	0.2344767877
866	0.2344152439
867	0.2344093526
868	0.2342756699
869	0.2342752082
870	0.2342724809
871	0.2340826754
872	0.2339532035
873	0.2339459781
874	0.2339388277
875	0.2338684303
876	0.2337922662
877	0.2337868004
878	0.2337828946
879	0.2336559588
880	0.2336507159
881	0.2336494886
882	0.2336479598
883	0.2336478522
884	0.2336478091
885	0.2336477983
886	0.2335729193
887	0.2335720039
888	0.2335153169
889	0.2334743577
890	0.2334734526
891	0.2334732156
892	0.2334732048
893	0.2334018802
894	0.2334018371
895	0.2334018048
896	0.2332711463
897	0.2332711247
898	0.2332711139
899	0.2332707365
900	0.2332703914
901	0.2332592734
902	0.2332592411
903	0.2331994255
904	0.2331994255
905	0.2331994147
906	0.2331955854
907	0.2331955422
908	0.2331953265
909	0.2331701916
910	0.2331693393
911	0.2331693393
912	0.2330810218
913	0.2330773848
914	0.2330773524
915	0.2330773416
916	0.2330765537
917	0.2330098254
918	0.2330098254
919	0.233009793
920	0.2330090157
921	0.2329304433
922	0.2329302921
923	0.2329267391
924	0.2329267391
925	0.2329266959
926	0.2329259075
927	0.2327447094
928	0.2327381598
929	0.232738149
930	0.2327381382
931	0.2327381382
932	0.2327381382
933	0.2327380085
934	0.2327380193
935	0.2327379977
936	0.2327378139
937	0.2327332204
938	0.2327330367
939	0.2327329394
940	0.232732907
941	0.2327328962
942	0.2327328854
943	0.2327305616
944	0.2326277827
945	0.2326277287
946	0.23262748
947	0.2326274259
948	0.2326273935
949	0.2326266257
950	0.2326266041
951	0.2326265068
952	0.232626496
953	0.2326264527
954	0.2326264203
955	0.2326261932
956	0.2326261824
957	0.2326254687
958	0.2326254471
959	0.2326215759
960	0.2326194456
961	0.2326187535
962	0.232547156
963	0.2325438136
964	0.232543435
965	0.2325425047
966	0.2325376152
967	0.2325362414
968	0.232533126
969	0.2325328988
970	0.232532888
971	0.2325328988
972	0.232532888
973	0.232532888
974	0.2325319901
975	0.2325272195
976	0.2325272086
977	0.2325272086
978	0.2325271978
979	0.2325271978
980	0.232527187
981	0.2325271978
982	0.2325271978
983	0.2324879146
984	0.2324876982
985	0.2324876982
986	0.2324876982
987	0.2324876874
988	0.2324876549
989	0.2324876549
990	0.2324858805
991	0.2324858913
992	0.2324831106
993	0.2324830781
994	0.2324801351
995	0.2324801459
996	0.2324775166
997	0.2324768998
998	0.2324768998
999	0.2324768998
