iter	Passed	Remaining
0	13	13813
1	28	14339
2	43	14494
3	60	15009
4	76	15314
5	92	15272
6	105	14986
7	120	14946
8	135	14913
9	149	14768
10	164	14783
11	178	14677
12	192	14602
13	206	14530
14	220	14500
15	235	14454
16	249	14418
17	264	14421
18	279	14440
19	294	14414
20	307	14351
21	322	14326
22	336	14292
23	350	14255
24	364	14212
25	378	14197
26	393	14172
27	406	14124
28	422	14138
29	436	14121
30	450	14068
31	465	14075
32	480	14075
33	495	14077
34	510	14064
35	525	14060
36	538	14009
37	552	13992
38	566	13967
39	580	13927
40	594	13894
41	608	13871
42	622	13864
43	637	13853
44	652	13839
45	666	13819
46	682	13848
47	697	13828
48	712	13824
49	726	13798
50	740	13771
51	754	13748
52	768	13728
53	782	13712
54	796	13680
55	810	13657
56	824	13641
57	837	13609
58	853	13606
59	867	13597
60	881	13568
61	896	13566
62	910	13541
63	924	13527
64	939	13513
65	953	13498
66	968	13483
67	982	13467
68	996	13444
69	1010	13423
70	1024	13406
71	1038	13388
72	1052	13360
73	1066	13339
74	1080	13325
75	1094	13311
76	1109	13300
77	1124	13286
78	1137	13263
79	1152	13249
80	1166	13233
81	1181	13222
82	1195	13204
83	1209	13192
84	1223	13173
85	1238	13165
86	1252	13142
87	1266	13128
88	1280	13106
89	1295	13095
90	1308	13074
91	1322	13056
92	1337	13043
93	1350	13019
94	1365	13007
95	1379	12993
96	1393	12972
97	1407	12956
98	1422	12943
99	1436	12930
100	1451	12917
101	1466	12909
102	1480	12894
103	1494	12873
104	1508	12861
105	1523	12851
106	1538	12842
107	1549	12800
108	1563	12783
109	1578	12768
110	1593	12758
111	1608	12749
112	1622	12732
113	1636	12717
114	1651	12707
115	1662	12670
116	1678	12664
117	1691	12643
118	1705	12629
119	1719	12612
120	1734	12600
121	1747	12579
122	1762	12569
123	1777	12556
124	1791	12543
125	1805	12521
126	1819	12505
127	1828	12457
128	1842	12441
129	1856	12424
130	1870	12411
131	1884	12393
132	1893	12344
133	1906	12321
134	1921	12312
135	1935	12299
136	1949	12282
137	1958	12235
138	1966	12182
139	1980	12165
140	1994	12153
141	2008	12134
142	2022	12122
143	2036	12106
144	2050	12093
145	2066	12086
146	2080	12071
147	2094	12056
148	2108	12042
149	2118	12003
150	2132	11988
151	2146	11974
152	2160	11959
153	2169	11918
154	2178	11874
155	2191	11855
156	2205	11840
157	2219	11827
158	2233	11812
159	2247	11797
160	2256	11761
161	2264	11716
162	2274	11678
163	2288	11665
164	2295	11616
165	2308	11600
166	2323	11587
167	2333	11558
168	2341	11512
169	2355	11499
170	2365	11466
171	2373	11425
172	2382	11389
173	2395	11372
174	2410	11362
175	2425	11353
176	2434	11317
177	2448	11306
178	2461	11291
179	2475	11277
180	2484	11241
181	2499	11236
182	2514	11224
183	2528	11214
184	2536	11175
185	2550	11163
186	2566	11158
187	2580	11144
188	2594	11134
189	2603	11099
190	2611	11060
191	2625	11047
192	2634	11017
193	2648	11004
194	2662	10990
195	2679	10991
196	2688	10958
197	2702	10944
198	2710	10910
199	2724	10897
200	2739	10889
201	2754	10880
202	2762	10846
203	2777	10838
204	2791	10827
205	2806	10818
206	2822	10812
207	2836	10800
208	2850	10788
209	2859	10756
210	2873	10743
211	2881	10711
212	2895	10699
213	2909	10685
214	2920	10662
215	2935	10653
216	2949	10642
217	2959	10615
218	2972	10599
219	2986	10586
220	3000	10575
221	3014	10564
222	3022	10532
223	3036	10517
224	3050	10506
225	3058	10474
226	3070	10456
227	3080	10431
228	3087	10396
229	3101	10382
230	3110	10354
231	3118	10324
232	3132	10311
233	3142	10287
234	3155	10272
235	3163	10240
236	3171	10210
237	3184	10196
238	3192	10166
239	3205	10151
240	3215	10125
241	3222	10092
242	3229	10061
243	3236	10026
244	3248	10011
245	3262	9999
246	3277	9991
247	3292	9982
248	3300	9954
249	3307	9923
250	3321	9910
251	3330	9886
252	3345	9876
253	3354	9850
254	3366	9835
255	3376	9811
256	3389	9798
257	3400	9778
258	3415	9771
259	3428	9759
260	3438	9736
261	3447	9711
262	3461	9701
263	3469	9672
264	3482	9659
265	3496	9647
266	3510	9636
267	3520	9616
268	3535	9606
269	3546	9587
270	3554	9563
271	3568	9549
272	3577	9527
273	3592	9518
274	3599	9490
275	3613	9477
276	3621	9451
277	3634	9439
278	3642	9413
279	3656	9402
280	3671	9395
281	3686	9385
282	3695	9362
283	3704	9338
284	3717	9325
285	3725	9299
286	3738	9287
287	3752	9277
288	3760	9252
289	3774	9240
290	3788	9230
291	3796	9204
292	3804	9179
293	3811	9153
294	3818	9125
295	3832	9114
296	3842	9096
297	3851	9072
298	3859	9049
299	3870	9030
300	3885	9022
301	3895	9004
302	3904	8981
303	3912	8957
304	3921	8936
305	3930	8913
306	3943	8901
307	3954	8884
308	3967	8873
309	3979	8857
310	3992	8845
311	4000	8821
312	4008	8797
313	4022	8787
314	4030	8764
315	4038	8740
316	4052	8731
317	4061	8710
318	4074	8698
319	4089	8689
320	4097	8667
321	4105	8643
322	4119	8634
323	4127	8611
324	4142	8603
325	4157	8595
326	4173	8589
327	4187	8580
328	4202	8571
329	4218	8564
330	4232	8555
331	4243	8539
332	4258	8528
333	4272	8519
334	4286	8509
335	4301	8501
336	4311	8482
337	4321	8463
338	4331	8445
339	4345	8435
340	4360	8427
341	4369	8407
342	4377	8385
343	4384	8361
344	4393	8341
345	4406	8329
346	4417	8312
347	4424	8290
348	4439	8280
349	4447	8260
350	4454	8236
351	4465	8221
352	4472	8197
353	4487	8189
354	4501	8178
355	4515	8168
356	4530	8160
357	4538	8139
358	4550	8124
359	4560	8108
360	4570	8090
361	4585	8081
362	4599	8071
363	4608	8052
364	4624	8045
365	4639	8036
366	4654	8027
367	4669	8018
368	4684	8009
369	4698	7999
370	4708	7982
371	4716	7961
372	4730	7951
373	4745	7942
374	4759	7931
375	4769	7915
376	4777	7894
377	4787	7877
378	4794	7855
379	4807	7843
380	4814	7821
381	4828	7810
382	4837	7793
383	4851	7782
384	4859	7762
385	4866	7740
386	4881	7731
387	4895	7721
388	4909	7710
389	4923	7701
390	4936	7689
391	4951	7679
392	4960	7661
393	4967	7640
394	4981	7629
395	4995	7619
396	5003	7599
397	5015	7586
398	5023	7567
399	5034	7551
400	5042	7532
401	5049	7511
402	5062	7499
403	5076	7489
404	5088	7475
405	5097	7457
406	5110	7446
407	5118	7426
408	5131	7415
409	5145	7405
410	5160	7395
411	5175	7385
412	5189	7375
413	5203	7364
414	5211	7345
415	5221	7330
416	5230	7312
417	5238	7294
418	5245	7273
419	5258	7261
420	5265	7242
421	5273	7223
422	5281	7203
423	5290	7186
424	5297	7166
425	5311	7156
426	5324	7145
427	5333	7128
428	5346	7116
429	5361	7106
430	5371	7090
431	5378	7072
432	5391	7060
433	5406	7050
434	5415	7033
435	5423	7015
436	5436	7004
437	5447	6989
438	5454	6970
439	5468	6959
440	5476	6941
441	5490	6931
442	5506	6922
443	5514	6906
444	5522	6887
445	5534	6874
446	5543	6858
447	5555	6844
448	5571	6836
449	5583	6823
450	5593	6808
451	5605	6796
452	5614	6779
453	5624	6764
454	5634	6748
455	5643	6732
456	5655	6720
457	5670	6710
458	5679	6693
459	5689	6678
460	5704	6669
461	5715	6655
462	5724	6639
463	5731	6621
464	5741	6606
465	5750	6589
466	5758	6572
467	5767	6556
468	5777	6540
469	5791	6531
470	5806	6521
471	5820	6510
472	5830	6495
473	5840	6481
474	5849	6465
475	5859	6449
476	5873	6440
477	5885	6426
478	5894	6410
479	5903	6395
480	5912	6379
481	5920	6363
482	5934	6351
483	5948	6341
484	5963	6331
485	5972	6316
486	5981	6300
487	5994	6289
488	6003	6273
489	6013	6258
490	6022	6243
491	6034	6231
492	6043	6215
493	6052	6199
494	6059	6182
495	6069	6167
496	6080	6153
497	6089	6138
498	6099	6123
499	6107	6107
500	6115	6090
501	6125	6077
502	6135	6061
503	6143	6045
504	6150	6029
505	6160	6014
506	6167	5997
507	6176	5981
508	6184	5965
509	6197	5954
510	6206	5938
511	6214	5922
512	6225	5909
513	6239	5899
514	6247	5883
515	6260	5872
516	6271	5859
517	6278	5842
518	6286	5826
519	6301	5816
520	6309	5800
521	6318	5785
522	6325	5768
523	6334	5754
524	6342	5738
525	6356	5727
526	6366	5713
527	6373	5697
528	6383	5683
529	6392	5668
530	6401	5654
531	6412	5640
532	6419	5624
533	6428	5609
534	6435	5593
535	6443	5577
536	6451	5562
537	6464	5551
538	6475	5538
539	6481	5521
540	6488	5504
541	6496	5489
542	6506	5475
543	6515	5461
544	6523	5446
545	6532	5431
546	6541	5417
547	6548	5401
548	6558	5387
549	6565	5371
550	6573	5356
551	6581	5341
552	6587	5324
553	6594	5308
554	6602	5293
555	6609	5277
556	6616	5262
557	6631	5252
558	6640	5238
559	6647	5223
560	6657	5209
561	6664	5193
562	6671	5178
563	6678	5162
564	6684	5146
565	6693	5132
566	6700	5117
567	6706	5100
568	6714	5086
569	6721	5070
570	6728	5055
571	6736	5040
572	6745	5026
573	6753	5012
574	6761	4997
575	6775	4987
576	6783	4973
577	6790	4957
578	6796	4942
579	6804	4927
580	6811	4912
581	6825	4902
582	6835	4889
583	6844	4875
584	6852	4861
585	6865	4850
586	6874	4836
587	6881	4821
588	6888	4806
589	6895	4791
590	6902	4776
591	6909	4761
592	6915	4746
593	6923	4732
594	6932	4718
595	6939	4704
596	6947	4689
597	6955	4675
598	6962	4661
599	6970	4647
600	6978	4633
601	6987	4619
602	6995	4605
603	7004	4592
604	7012	4578
605	7023	4566
606	7031	4552
607	7039	4538
608	7051	4527
609	7059	4513
610	7067	4499
611	7076	4486
612	7083	4472
613	7091	4458
614	7102	4445
615	7112	4433
616	7120	4419
617	7128	4406
618	7138	4393
619	7148	4381
620	7158	4368
621	7167	4355
622	7176	4342
623	7184	4328
624	7192	4315
625	7199	4301
626	7209	4288
627	7216	4274
628	7225	4261
629	7233	4248
630	7244	4236
631	7252	4223
632	7260	4209
633	7275	4199
634	7283	4186
635	7294	4174
636	7302	4161
637	7309	4147
638	7317	4134
639	7328	4122
640	7335	4108
641	7343	4095
642	7351	4081
643	7361	4069
644	7369	4056
645	7379	4043
646	7387	4030
647	7397	4018
648	7407	4005
649	7418	3994
650	7426	3981
651	7435	3968
652	7443	3955
653	7450	3941
654	7458	3928
655	7466	3915
656	7474	3901
657	7482	3889
658	7491	3876
659	7500	3863
660	7507	3850
661	7514	3836
662	7522	3823
663	7529	3810
664	7537	3797
665	7544	3783
666	7551	3770
667	7558	3756
668	7566	3743
669	7573	3730
670	7582	3717
671	7590	3704
672	7598	3691
673	7605	3678
674	7612	3665
675	7618	3651
676	7626	3638
677	7633	3625
678	7640	3611
679	7655	3602
680	7664	3590
681	7673	3577
682	7680	3564
683	7695	3555
684	7704	3542
685	7713	3530
686	7720	3517
687	7728	3504
688	7737	3492
689	7744	3479
690	7751	3466
691	7759	3453
692	7767	3441
693	7778	3429
694	7792	3419
695	7807	3410
696	7815	3397
697	7830	3387
698	7838	3375
699	7845	3362
700	7852	3349
701	7861	3337
702	7870	3325
703	7878	3312
704	7887	3300
705	7900	3289
706	7914	3279
707	7924	3268
708	7933	3256
709	7940	3243
710	7949	3231
711	7956	3218
712	7968	3207
713	7977	3195
714	7984	3182
715	7993	3170
716	8003	3158
717	8018	3149
718	8026	3136
719	8033	3124
720	8040	3111
721	8055	3101
722	8064	3089
723	8072	3077
724	8079	3064
725	8088	3052
726	8098	3041
727	8107	3029
728	8115	3016
729	8131	3007
730	8139	2995
731	8147	2982
732	8156	2971
733	8171	2961
734	8186	2951
735	8194	2939
736	8201	2926
737	8216	2916
738	8225	2905
739	8232	2892
740	8239	2880
741	8247	2867
742	8259	2856
743	8267	2844
744	8274	2832
745	8284	2820
746	8295	2809
747	8303	2797
748	8313	2785
749	8322	2774
750	8330	2762
751	8339	2750
752	8348	2738
753	8363	2728
754	8379	2719
755	8389	2707
756	8397	2695
757	8410	2685
758	8419	2673
759	8434	2663
760	8443	2651
761	8455	2640
762	8470	2630
763	8479	2619
764	8495	2609
765	8506	2598
766	8521	2588
767	8537	2579
768	8547	2567
769	8563	2557
770	8578	2547
771	8595	2538
772	8611	2529
773	8620	2517
774	8629	2505
775	8644	2495
776	8653	2483
777	8667	2473
778	8682	2463
779	8693	2451
780	8701	2440
781	8717	2430
782	8726	2418
783	8740	2408
784	8748	2395
785	8757	2384
786	8768	2373
787	8784	2363
788	8795	2352
789	8810	2342
790	8826	2332
791	8841	2321
792	8855	2311
793	8868	2300
794	8884	2290
795	8899	2280
796	8913	2270
797	8927	2259
798	8943	2249
799	8959	2239
800	8974	2229
801	8989	2219
802	9004	2209
803	9013	2197
804	9026	2186
805	9037	2175
806	9051	2164
807	9060	2152
808	9070	2141
809	9085	2131
810	9095	2119
811	9107	2108
812	9115	2096
813	9130	2086
814	9144	2075
815	9155	2064
816	9169	2053
817	9183	2043
818	9198	2032
819	9213	2022
820	9222	2010
821	9230	1998
822	9239	1987
823	9252	1976
824	9261	1964
825	9269	1952
826	9276	1940
827	9292	1930
828	9299	1918
829	9313	1907
830	9321	1895
831	9335	1885
832	9345	1873
833	9355	1862
834	9367	1851
835	9382	1840
836	9397	1830
837	9407	1818
838	9422	1808
839	9432	1796
840	9443	1785
841	9451	1773
842	9458	1761
843	9472	1750
844	9487	1740
845	9495	1728
846	9506	1717
847	9520	1706
848	9530	1695
849	9545	1684
850	9554	1672
851	9568	1662
852	9583	1651
853	9594	1640
854	9609	1629
855	9622	1618
856	9637	1608
857	9654	1597
858	9669	1587
859	9681	1575
860	9688	1564
861	9695	1552
862	9709	1541
863	9716	1529
864	9731	1518
865	9747	1508
866	9762	1497
867	9777	1486
868	9793	1476
869	9807	1465
870	9817	1454
871	9832	1443
872	9847	1432
873	9861	1421
874	9875	1410
875	9890	1399
876	9904	1389
877	9919	1378
878	9936	1367
879	9952	1357
880	9968	1346
881	9982	1335
882	9991	1323
883	9999	1312
884	10009	1300
885	10016	1288
886	10031	1277
887	10041	1266
888	10056	1255
889	10070	1244
890	10081	1233
891	10092	1221
892	10099	1210
893	10114	1199
894	10122	1187
895	10130	1175
896	10144	1164
897	10151	1153
898	10159	1141
899	10172	1130
900	10186	1119
901	10200	1108
902	10210	1096
903	10224	1085
904	10231	1074
905	10238	1062
906	10252	1051
907	10261	1039
908	10271	1028
909	10285	1017
910	10296	1005
911	10304	994
912	10318	983
913	10331	972
914	10339	960
915	10347	948
916	10355	937
917	10370	926
918	10377	914
919	10387	903
920	10396	891
921	10411	880
922	10419	869
923	10432	858
924	10440	846
925	10448	834
926	10457	823
927	10471	812
928	10486	801
929	10494	789
930	10500	778
931	10508	766
932	10516	755
933	10524	743
934	10531	732
935	10539	720
936	10548	709
937	10561	698
938	10570	686
939	10578	675
940	10585	663
941	10594	652
942	10601	640
943	10614	629
944	10628	618
945	10637	607
946	10647	595
947	10657	584
948	10664	573
949	10673	561
950	10681	550
951	10689	538
952	10697	527
953	10705	516
954	10713	504
955	10724	493
956	10731	482
957	10742	470
958	10749	459
959	10762	448
960	10776	437
961	10786	426
962	10802	415
963	10815	403
964	10823	392
965	10833	381
966	10844	370
967	10854	358
968	10866	347
969	10875	336
970	10883	325
971	10889	313
972	10896	302
973	10903	291
974	10912	279
975	10925	268
976	10934	257
977	10941	246
978	10949	234
979	10957	223
980	10965	212
981	10973	201
982	10980	189
983	10994	178
984	11004	167
985	11013	156
986	11021	145
987	11029	133
988	11038	122
989	11045	111
990	11055	100
991	11062	89
992	11073	78
993	11081	66
994	11094	55
995	11102	44
996	11113	33
997	11122	22
998	11129	11
999	11136	0
